#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321A1A159,,
#Date Time: 2021-04-06 15:43:00.687,,
#Sample rate: 4000Hz,,
#Samples: 8000,,
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 200 mV Hyst.: Auto HoldOff: 0 s,,
#Channel 2: Range: 500 mV/div Offset: -1 V,,
#Math 1: Function: -1*C1,,
,,
Time (s),Channel 2 (V),Math 1 (V)
0.423,1.034810839,5.157439602
0.42325,1.028093694,5.177615163
0.4235,1.028093694,5.18434035
0.42375,1.028093694,5.187702944
0.424,1.028093694,5.18434035
0.42425,1.028093694,5.180977757
0.4245,1.028093694,5.167527383
0.42475,1.028093694,5.167527383
0.425,1.028093694,5.18434035
0.42525,1.028093694,5.191065537
0.4255,1.024735122,5.201153318
0.42575,1.021376549,5.214603692
0.426,1.021376549,5.228054066
0.42625,1.018017977,5.265042595
0.4265,1.014659404,5.332294465
0.42675,1.011300831,5.389458555
0.427,1.011300831,5.396183742
0.42725,1.011300831,5.41299671
0.4275,1.011300831,5.426447084
0.42775,1.011300831,5.436534864
0.428,1.011300831,5.453347832
0.42825,1.011300831,5.466798206
0.4285,1.011300831,5.476885987
0.42875,1.011300831,5.500424141
0.429,1.011300831,5.517237109
0.42925,1.011300831,5.530687483
0.4295,1.011300831,5.544137857
0.42975,1.011300831,5.560950825
0.43,1.011300831,5.574401199
0.43025,1.007942259,5.591214166
0.4305,1.004583686,5.604664541
0.43075,1.007942259,5.608027134
0.431,1.007942259,5.618114915
0.43125,1.011300831,5.624840102
0.4315,1.021376549,5.621477508
0.43175,1.024735122,5.624840102
0.432,1.024735122,5.621477508
0.43225,1.028093694,5.618114915
0.4325,1.028093694,5.614752321
0.43275,1.031452267,5.608027134
0.433,1.031452267,5.597939353
0.43325,1.031452267,5.601301947
0.4335,1.034810839,5.611389728
0.43375,1.034810839,5.621477508
0.434,1.038169412,5.628202695
0.43425,1.038169412,5.641653069
0.4345,1.041527984,5.655103443
0.43475,1.041527984,5.702179753
0.435,1.038169412,5.769431623
0.43525,1.038169412,5.799694965
0.4355,1.038169412,5.819870526
0.43575,1.038169412,5.836683493
0.436,1.038169412,5.850133868
0.43625,1.038169412,5.856859055
0.4365,1.038169412,5.866946835
0.43675,1.038169412,5.883759803
0.437,1.038169412,5.903935364
0.43725,1.038169412,5.917385738
0.4375,1.038169412,5.930836112
0.43775,1.038169412,5.940923893
0.438,1.038169412,5.951011673
0.43825,1.034810839,5.964462047
0.4385,1.034810839,5.988000202
0.43875,1.034810839,6.008175763
0.439,1.034810839,6.021626137
0.43925,1.038169412,6.031713918
0.4395,1.038169412,6.045164292
0.43975,1.031452267,6.065339853
0.44,1.028093694,6.075427633
0.44025,1.028093694,6.078790227
0.4405,1.028093694,6.078790227
0.44075,1.028093694,6.075427633
0.441,1.028093694,6.07206504
0.44125,1.028093694,6.068702446
0.4415,1.028093694,6.075427633
0.44175,1.028093694,6.088878008
0.442,1.028093694,6.095603195
0.44225,1.024735122,6.109053569
0.4425,1.021376549,6.12922913
0.44275,1.021376549,6.152767284
0.443,1.018017977,6.189755813
0.44325,1.011300831,6.267095464
0.4435,1.011300831,6.304083993
0.44375,1.011300831,6.31080918
0.444,1.011300831,6.32089696
0.44425,1.011300831,6.327622148
0.4445,1.011300831,6.341072522
0.44475,1.011300831,6.357885489
0.445,1.007942259,6.37806105
0.44525,1.011300831,6.394874018
0.4455,1.011300831,6.411686986
0.44575,1.007942259,6.42513736
0.446,1.011300831,6.438587734
0.44625,1.011300831,6.455400701
0.4465,1.011300831,6.468851075
0.44675,1.007942259,6.48230145
0.447,1.004583686,6.502477011
0.44725,1.004583686,6.526015165
0.4475,1.007942259,6.539465539
0.44775,1.007942259,6.54955332
0.448,1.011300831,6.552915913
0.44825,1.018017977,6.54955332
0.4485,1.024735122,6.546190726
0.44875,1.024735122,6.539465539
0.449,1.028093694,6.532740352
0.44925,1.028093694,6.519289978
0.4495,1.031452267,6.509202198
0.44975,1.031452267,6.509202198
0.45,1.031452267,6.526015165
0.45025,1.031452267,6.542828133
0.4505,1.034810839,6.54955332
0.45075,1.038169412,6.563003694
0.451,1.038169412,6.576454068
0.45125,1.041527984,6.596629629
0.4515,1.038169412,6.660518906
